name,gender,status,affiliation,faction,role,weapon,emotion,mission_count,location,rank,loyalty
Thomas Collins 25870,Female,Inactive,Ruska Roma,Crime Syndicate,Bodyguard,Pistol,Angry,3,Berlin,Senior Agent,High
Leo Hunter 25871,Female,Active,Continental,Assassin,Manager,Unarmed,Determined,192,Marrakesh,Master,Absolute
Andrew Foster 25872,Female,Deceased,Ruska Roma,Crime Syndicate,Manager,Rifle,Neutral,241,Tokyo,Elite,Medium
Michael Morgan 25873,Female,Inactive,Independent,Handler,Manager,Rifle,Calm,96,London,Master,High
Thomas Collins 25874,Female,Missing,Continental,Assassin,Bodyguard,Sword,Neutral,79,New York,Elite,High
Alex Morgan 25875,Male,Missing,Ruska Roma,Assassin,Bodyguard,Unarmed,Fearful,179,Osaka,Agent,Medium
Ryan Murphy 25876,Male,Active,Ruska Roma,Contractor,Hitman,Sword,Focused,130,Osaka,Elite,Low
Ryan Walker 25877,Male,Deceased,Independent,Assassin,Hitman,Shotgun,Angry,203,Tokyo,Novice,Medium
Jack Stone 25878,Female,Missing,Continental,Assassin,Bodyguard,Sword,Calm,153,Rome,Senior Agent,High
Lucas Hunter 25879,Male,Active,Ruska Roma,Handler,Hitman,Unarmed,Angry,213,New York,Novice,High
Daniel Ward 25880,Male,Inactive,Continental,Assassin,Hitman,Pistol,Focused,76,Casablanca,Elite,High
Ethan Carter 25881,Male,Deceased,Ruska Roma,Handler,Bodyguard,Sword,Determined,130,Tokyo,Novice,Low
James Walker 25882,Male,Active,Continental,Handler,Hitman,Pistol,Focused,3,Osaka,Elite,Medium
Daniel Brooks 25883,Female,Deceased,Ruska Roma,Contractor,Tracker,Knife,Fearful,141,Berlin,Agent,Absolute
Benjamin Russell 25884,Female,Missing,Underworld,Contractor,Hitman,Sword,Determined,193,Casablanca,Master,High
Jack Murphy 25885,Female,Active,Ruska Roma,Handler,Operative,Unarmed,Neutral,240,Prague,Elite,High
David Bennett 25886,Male,Missing,Ruska Roma,Assassin,Enforcer,Shotgun,Calm,190,Marrakesh,Agent,Medium
David Bennett 25887,Female,Inactive,High Table,Contractor,Operative,Sword,Neutral,144,Paris,Master,Low
Leo Parker 25888,Male,Missing,Underworld,Security,Bodyguard,Shotgun,Calm,179,Osaka,Master,Low
Leo Stone 25889,Female,Inactive,Ruska Roma,Handler,Operative,Sword,Neutral,103,Osaka,Agent,Medium
Jack Parker 25890,Female,Inactive,Underworld,Handler,Manager,Unarmed,Angry,178,Marrakesh,Novice,Absolute
Ryan Reed 25891,Female,Active,Ruska Roma,Handler,Hitman,Shotgun,Calm,134,Casablanca,Novice,High
Matthew Ward 25892,Male,Deceased,Ruska Roma,Security,Tracker,Shotgun,Neutral,86,London,Elite,High
David Mitchell 25893,Male,Inactive,High Table,Handler,Manager,Pistol,Focused,48,Berlin,Senior Agent,Low
Michael Griffin 25894,Female,Inactive,Ruska Roma,Security,Manager,Unarmed,Fearful,148,Prague,Novice,Low
Matthew Carter 25895,Female,Inactive,Continental,Security,Enforcer,Pistol,Determined,29,Osaka,Master,High
Matthew Russell 25896,Male,Active,Ruska Roma,Handler,Hitman,Knife,Neutral,73,Osaka,Elite,Medium
Benjamin Brooks 25897,Male,Missing,Ruska Roma,Contractor,Tracker,Knife,Fearful,220,Rome,Agent,Low
Andrew Parker 25898,Female,Inactive,High Table,Assassin,Bodyguard,Sword,Determined,27,Casablanca,Senior Agent,Medium
James Hunter 25899,Female,Active,High Table,Security,Operative,Pistol,Calm,216,Osaka,Master,Absolute
Daniel Hayes 25900,Male,Active,Independent,Contractor,Enforcer,Pistol,Calm,2,London,Agent,Low
James Griffin 25901,Male,Deceased,Ruska Roma,Crime Syndicate,Hitman,Unarmed,Angry,85,Rome,Master,High
Jack Ward 25902,Female,Missing,Underworld,Security,Enforcer,Sword,Angry,183,New York,Elite,Low
William Russell 25903,Female,Inactive,High Table,Security,Operative,Pistol,Neutral,129,Prague,Senior Agent,Low
Leo Bailey 25904,Male,Inactive,High Table,Crime Syndicate,Enforcer,Sword,Angry,20,Tokyo,Agent,Absolute
James Collins 25905,Male,Inactive,Continental,Crime Syndicate,Operative,Pistol,Determined,197,Marrakesh,Master,Low
James Murphy 25906,Female,Inactive,Ruska Roma,Contractor,Manager,Rifle,Focused,249,Paris,Elite,Medium
Michael Hayes 25907,Female,Deceased,Ruska Roma,Assassin,Manager,Shotgun,Focused,165,Berlin,Senior Agent,Low
David Turner 25908,Male,Active,Underworld,Handler,Manager,Knife,Determined,68,Berlin,Novice,Absolute
Benjamin Stone 25909,Male,Missing,Continental,Handler,Enforcer,Pistol,Focused,163,Prague,Senior Agent,Low
Jack Griffin 25910,Male,Active,Underworld,Handler,Hitman,Unarmed,Neutral,32,London,Novice,Absolute
Leo Parker 25911,Male,Active,Continental,Assassin,Manager,Sword,Determined,35,Prague,Senior Agent,Low
Joseph Parker 25912,Female,Inactive,High Table,Crime Syndicate,Tracker,Unarmed,Calm,71,Casablanca,Agent,Medium
Henry Russell 25913,Male,Active,Ruska Roma,Handler,Tracker,Pistol,Fearful,101,Tokyo,Master,Medium
Michael Stone 25914,Female,Deceased,Independent,Assassin,Bodyguard,Unarmed,Focused,143,New York,Senior Agent,Low
Ethan Stone 25915,Male,Missing,Independent,Security,Tracker,Rifle,Focused,195,Rome,Elite,High
Andrew Reed 25916,Female,Inactive,High Table,Assassin,Enforcer,Pistol,Fearful,179,Paris,Elite,High
Leo Collins 25917,Male,Missing,Underworld,Crime Syndicate,Manager,Sword,Fearful,73,Marrakesh,Agent,High
Noah Foster 25918,Female,Deceased,Ruska Roma,Contractor,Tracker,Knife,Determined,143,Prague,Novice,High
Daniel Russell 25919,Female,Active,Continental,Handler,Manager,Knife,Angry,217,Osaka,Novice,Absolute
Joseph Murphy 25920,Male,Missing,High Table,Handler,Manager,Pistol,Calm,171,Paris,Novice,Medium
Benjamin Bennett 25921,Female,Inactive,Underworld,Handler,Manager,Pistol,Focused,183,Berlin,Master,Low
Leo Turner 25922,Female,Active,High Table,Handler,Operative,Rifle,Neutral,241,Casablanca,Senior Agent,Absolute
David Bailey 25923,Female,Active,Underworld,Security,Manager,Rifle,Determined,161,Prague,Agent,Medium
Oliver Russell 25924,Male,Deceased,High Table,Assassin,Bodyguard,Knife,Angry,5,Tokyo,Master,Medium
Lucas Reed 25925,Female,Inactive,High Table,Handler,Hitman,Rifle,Fearful,176,Paris,Master,Low
Alex Stone 25926,Male,Missing,Ruska Roma,Assassin,Operative,Shotgun,Calm,236,London,Elite,Absolute
Ryan Hayes 25927,Male,Active,Underworld,Crime Syndicate,Manager,Sword,Focused,28,Rome,Novice,Medium
Andrew Mitchell 25928,Female,Deceased,Ruska Roma,Handler,Manager,Shotgun,Angry,116,Casablanca,Agent,Medium
Michael Bennett 25929,Male,Missing,Ruska Roma,Crime Syndicate,Tracker,Knife,Determined,111,London,Elite,Absolute
Alex Ward 25930,Male,Missing,Underworld,Handler,Bodyguard,Unarmed,Focused,178,London,Elite,Absolute
Ethan Bailey 25931,Male,Active,High Table,Handler,Enforcer,Sword,Angry,192,Berlin,Elite,High
Daniel Bailey 25932,Male,Deceased,Ruska Roma,Handler,Enforcer,Sword,Angry,134,Casablanca,Agent,Low
Benjamin Collins 25933,Male,Deceased,Independent,Assassin,Hitman,Knife,Angry,19,Tokyo,Novice,Low
Jack Cooper 25934,Male,Missing,Continental,Assassin,Operative,Knife,Fearful,121,Rome,Agent,High
Lucas Ward 25935,Female,Inactive,High Table,Security,Enforcer,Rifle,Neutral,185,Osaka,Novice,Low
Benjamin Brooks 25936,Male,Inactive,Continental,Crime Syndicate,Manager,Pistol,Determined,199,Rome,Agent,High
William Murphy 25937,Female,Inactive,High Table,Contractor,Tracker,Unarmed,Calm,250,Casablanca,Agent,High
David Russell 25938,Female,Inactive,Independent,Handler,Bodyguard,Pistol,Determined,166,Marrakesh,Senior Agent,Absolute
James Parker 25939,Female,Missing,High Table,Handler,Hitman,Sword,Neutral,193,Osaka,Elite,High
Ethan Hunter 25940,Female,Active,Continental,Handler,Enforcer,Rifle,Focused,74,Osaka,Agent,Medium
Noah Mitchell 25941,Female,Active,Independent,Assassin,Bodyguard,Sword,Angry,210,Casablanca,Elite,Absolute
Joseph Murphy 25942,Female,Deceased,Independent,Contractor,Enforcer,Pistol,Focused,37,Rome,Master,Absolute
Lucas Turner 25943,Male,Deceased,Ruska Roma,Crime Syndicate,Bodyguard,Sword,Fearful,244,Marrakesh,Elite,Low
Michael Hunter 25944,Male,Missing,Ruska Roma,Security,Operative,Unarmed,Angry,28,Berlin,Novice,Medium
James Hunter 25945,Male,Inactive,Underworld,Security,Tracker,Knife,Determined,62,Marrakesh,Elite,Medium
Lucas Bennett 25946,Female,Inactive,High Table,Security,Tracker,Rifle,Focused,111,Casablanca,Novice,Absolute
Leo Hunter 25947,Male,Inactive,Ruska Roma,Assassin,Enforcer,Sword,Angry,146,New York,Elite,Absolute
Lucas Brooks 25948,Male,Missing,Independent,Security,Hitman,Sword,Determined,92,Berlin,Master,Absolute
Benjamin Parker 25949,Male,Missing,Underworld,Contractor,Tracker,Knife,Angry,167,New York,Agent,High
Ethan Carter 25950,Female,Active,Independent,Handler,Enforcer,Rifle,Neutral,64,Paris,Master,Absolute
Daniel Turner 25951,Male,Inactive,Ruska Roma,Contractor,Operative,Unarmed,Determined,164,Rome,Master,High
Oliver Foster 25952,Female,Deceased,Underworld,Contractor,Operative,Sword,Calm,108,Marrakesh,Novice,Absolute
Leo Stone 25953,Female,Missing,Underworld,Security,Operative,Sword,Calm,74,Prague,Master,High
Michael Murphy 25954,Male,Missing,Independent,Contractor,Enforcer,Knife,Fearful,208,Osaka,Elite,Low
Daniel Russell 25955,Female,Deceased,High Table,Assassin,Enforcer,Pistol,Calm,13,Paris,Senior Agent,Absolute
Andrew Cooper 25956,Male,Inactive,Independent,Crime Syndicate,Manager,Pistol,Neutral,154,Berlin,Senior Agent,Low
Henry Bennett 25957,Male,Deceased,Independent,Handler,Enforcer,Pistol,Focused,93,Prague,Senior Agent,Medium
Benjamin Ward 25958,Male,Missing,Ruska Roma,Assassin,Tracker,Sword,Determined,243,Paris,Elite,Medium
Matthew Stone 25959,Female,Active,High Table,Contractor,Operative,Pistol,Neutral,163,Prague,Senior Agent,High
Noah Walker 25960,Female,Missing,Continental,Assassin,Bodyguard,Rifle,Determined,98,Prague,Elite,Low
Daniel Reed 25961,Male,Deceased,Independent,Handler,Tracker,Pistol,Neutral,58,Paris,Elite,Medium
Matthew Carter 25962,Male,Inactive,High Table,Assassin,Enforcer,Shotgun,Fearful,42,Tokyo,Agent,High
Ethan Collins 25963,Male,Active,Independent,Contractor,Hitman,Rifle,Determined,85,Marrakesh,Agent,High
Samuel Morgan 25964,Female,Active,Independent,Crime Syndicate,Tracker,Sword,Calm,122,Rome,Agent,Absolute
Oliver Stone 25965,Male,Deceased,Independent,Security,Tracker,Rifle,Fearful,114,London,Novice,High
Oliver Reed 25966,Female,Deceased,Continental,Crime Syndicate,Tracker,Rifle,Neutral,50,Casablanca,Novice,Absolute
Thomas Brooks 25967,Male,Active,High Table,Handler,Enforcer,Shotgun,Angry,24,Rome,Senior Agent,Medium
Jack Carter 25968,Male,Deceased,Underworld,Security,Enforcer,Knife,Neutral,86,Tokyo,Master,Low
Samuel Brooks 25969,Male,Deceased,Underworld,Handler,Enforcer,Unarmed,Fearful,26,Tokyo,Novice,Medium
Matthew Hunter 25970,Male,Deceased,High Table,Handler,Bodyguard,Pistol,Angry,20,Casablanca,Novice,Medium
William Bennett 25971,Male,Inactive,Ruska Roma,Security,Enforcer,Knife,Fearful,202,Osaka,Elite,Medium
William Bailey 25972,Male,Missing,Continental,Handler,Manager,Shotgun,Angry,163,Berlin,Agent,High
David Stone 25973,Female,Active,Underworld,Assassin,Operative,Shotgun,Fearful,32,New York,Agent,Low
Joseph Morgan 25974,Male,Inactive,Underworld,Handler,Tracker,Pistol,Calm,192,Tokyo,Master,High
James Bailey 25975,Male,Inactive,High Table,Crime Syndicate,Bodyguard,Shotgun,Calm,166,Casablanca,Agent,Low
Joseph Griffin 25976,Female,Missing,Underworld,Handler,Bodyguard,Rifle,Focused,79,Prague,Senior Agent,High
Oliver Mitchell 25977,Female,Active,Continental,Assassin,Operative,Knife,Focused,53,London,Senior Agent,Medium
Daniel Walker 25978,Female,Missing,Underworld,Security,Manager,Rifle,Calm,11,Marrakesh,Senior Agent,High
Michael Parker 25979,Male,Missing,Ruska Roma,Contractor,Hitman,Sword,Focused,212,Rome,Master,Low
Thomas Walker 25980,Male,Active,Independent,Contractor,Operative,Rifle,Determined,163,Tokyo,Master,Medium
Andrew Ward 25981,Male,Missing,Continental,Assassin,Operative,Pistol,Fearful,204,London,Master,Medium
Jack Mitchell 25982,Female,Active,Ruska Roma,Security,Manager,Knife,Angry,18,Tokyo,Senior Agent,Medium
Jack Parker 25983,Female,Inactive,Independent,Assassin,Operative,Pistol,Focused,75,Rome,Senior Agent,Low
Lucas Bennett 25984,Male,Deceased,High Table,Crime Syndicate,Hitman,Shotgun,Angry,171,London,Novice,High
Leo Cooper 25985,Female,Inactive,Underworld,Contractor,Manager,Rifle,Angry,126,New York,Master,Medium
David Brooks 25986,Male,Active,Independent,Security,Tracker,Sword,Angry,101,Paris,Elite,High
Noah Turner 25987,Male,Inactive,Independent,Contractor,Operative,Sword,Focused,1,Tokyo,Novice,Absolute
Lucas Russell 25988,Male,Inactive,Independent,Assassin,Enforcer,Rifle,Determined,197,Rome,Master,Medium
Benjamin Stone 25989,Male,Deceased,Ruska Roma,Handler,Bodyguard,Rifle,Fearful,42,Casablanca,Novice,Absolute
Leo Collins 25990,Female,Inactive,Continental,Security,Manager,Knife,Calm,65,Paris,Agent,Medium
Matthew Bailey 25991,Female,Inactive,Independent,Security,Enforcer,Sword,Neutral,98,Osaka,Elite,Medium
Noah Reed 25992,Male,Deceased,High Table,Security,Tracker,Sword,Calm,39,New York,Agent,Medium
Thomas Griffin 25993,Female,Inactive,Continental,Assassin,Operative,Pistol,Angry,104,Osaka,Master,Absolute
Thomas Morgan 25994,Female,Inactive,Ruska Roma,Contractor,Manager,Knife,Neutral,190,Osaka,Elite,Low
Lucas Murphy 25995,Female,Deceased,Independent,Crime Syndicate,Enforcer,Unarmed,Focused,214,Prague,Novice,Medium
William Hunter 25996,Female,Active,Independent,Security,Manager,Unarmed,Determined,99,London,Senior Agent,Low
Benjamin Bailey 25997,Male,Active,High Table,Assassin,Enforcer,Unarmed,Neutral,65,Casablanca,Senior Agent,High
Oliver Walker 25998,Male,Inactive,Ruska Roma,Assassin,Enforcer,Shotgun,Determined,25,Tokyo,Master,High
James Bennett 25999,Female,Missing,High Table,Handler,Hitman,Rifle,Fearful,45,Osaka,Master,Low
Alex Walker 26000,Female,Missing,Ruska Roma,Crime Syndicate,Hitman,Rifle,Focused,74,New York,Master,Medium
Matthew Carter 26001,Female,Inactive,Ruska Roma,Security,Hitman,Shotgun,Determined,207,Paris,Master,Low
Joseph Parker 26002,Male,Inactive,Ruska Roma,Security,Hitman,Rifle,Neutral,192,London,Senior Agent,Absolute
Noah Murphy 26003,Male,Inactive,High Table,Assassin,Operative,Rifle,Neutral,63,Tokyo,Elite,Absolute
David Cooper 26004,Female,Deceased,Ruska Roma,Security,Manager,Shotgun,Neutral,146,Rome,Agent,Medium
Thomas Murphy 26005,Female,Inactive,High Table,Crime Syndicate,Hitman,Sword,Calm,150,Paris,Novice,Medium
David Morgan 26006,Female,Active,Underworld,Handler,Hitman,Pistol,Angry,92,Osaka,Agent,Medium
Lucas Stone 26007,Male,Inactive,Ruska Roma,Contractor,Hitman,Pistol,Fearful,52,Rome,Agent,Medium
Benjamin Murphy 26008,Male,Active,Underworld,Contractor,Tracker,Unarmed,Focused,52,Paris,Novice,High
Alex Bailey 26009,Female,Missing,Continental,Handler,Tracker,Sword,Calm,178,Berlin,Master,High
Ryan Stone 26010,Female,Active,High Table,Contractor,Tracker,Shotgun,Angry,217,London,Master,Absolute
Leo Foster 26011,Male,Inactive,Ruska Roma,Assassin,Enforcer,Knife,Determined,167,London,Master,Low
Oliver Ward 26012,Male,Active,Continental,Crime Syndicate,Hitman,Sword,Focused,100,Rome,Novice,Absolute
Henry Morgan 26013,Female,Active,Underworld,Handler,Manager,Knife,Determined,76,Berlin,Senior Agent,High
Thomas Reed 26014,Male,Deceased,Ruska Roma,Security,Hitman,Pistol,Calm,175,New York,Novice,Low
Alex Reed 26015,Female,Missing,Independent,Assassin,Operative,Rifle,Angry,219,Rome,Senior Agent,Low
William Morgan 26016,Male,Missing,Independent,Assassin,Bodyguard,Unarmed,Focused,117,Casablanca,Novice,Absolute
Leo Stone 26017,Male,Inactive,High Table,Contractor,Enforcer,Pistol,Neutral,164,Casablanca,Senior Agent,High
James Parker 26018,Female,Active,Ruska Roma,Security,Manager,Unarmed,Neutral,93,Rome,Novice,High
Michael Collins 26019,Female,Missing,Underworld,Assassin,Bodyguard,Pistol,Focused,142,Tokyo,Senior Agent,Low
Matthew Griffin 26020,Female,Missing,Underworld,Handler,Tracker,Sword,Determined,181,New York,Master,Medium
Ryan Collins 26021,Male,Missing,Ruska Roma,Crime Syndicate,Enforcer,Pistol,Determined,208,Marrakesh,Agent,High
Benjamin Parker 26022,Female,Active,Independent,Security,Enforcer,Rifle,Fearful,21,Paris,Agent,Medium
James Cooper 26023,Male,Deceased,Ruska Roma,Handler,Hitman,Unarmed,Determined,49,New York,Novice,Low
Matthew Mitchell 26024,Male,Inactive,Underworld,Handler,Operative,Pistol,Determined,54,Rome,Elite,Low
Alex Mitchell 26025,Male,Deceased,Independent,Assassin,Bodyguard,Shotgun,Determined,231,Berlin,Elite,High
Noah Griffin 26026,Female,Missing,Continental,Assassin,Tracker,Unarmed,Determined,19,Berlin,Novice,Medium
Noah Hunter 26027,Male,Missing,High Table,Contractor,Bodyguard,Rifle,Fearful,138,Tokyo,Master,Absolute
Henry Hayes 26028,Male,Deceased,Ruska Roma,Assassin,Enforcer,Knife,Calm,19,Osaka,Novice,High
Lucas Brooks 26029,Female,Missing,Ruska Roma,Assassin,Enforcer,Rifle,Determined,119,Osaka,Elite,High
Michael Hayes 26030,Female,Active,Underworld,Assassin,Enforcer,Shotgun,Fearful,94,Marrakesh,Master,High
Henry Carter 26031,Male,Missing,High Table,Crime Syndicate,Enforcer,Rifle,Angry,192,Marrakesh,Master,Medium
Michael Walker 26032,Female,Missing,Independent,Handler,Enforcer,Unarmed,Angry,159,Tokyo,Elite,Medium
Daniel Bennett 26033,Male,Missing,Ruska Roma,Security,Manager,Shotgun,Determined,1,Prague,Agent,High
Henry Russell 26034,Female,Deceased,Independent,Contractor,Bodyguard,Knife,Focused,206,Prague,Senior Agent,Absolute
James Cooper 26035,Female,Active,High Table,Contractor,Tracker,Unarmed,Angry,92,London,Novice,Absolute
Andrew Parker 26036,Male,Missing,High Table,Security,Enforcer,Sword,Focused,10,Tokyo,Senior Agent,Low
James Walker 26037,Male,Deceased,Independent,Contractor,Bodyguard,Pistol,Neutral,184,Tokyo,Elite,Low
Michael Stone 26038,Female,Missing,Ruska Roma,Handler,Operative,Knife,Fearful,21,Osaka,Agent,Low
Andrew Hunter 26039,Female,Missing,Underworld,Security,Bodyguard,Shotgun,Neutral,96,London,Agent,Absolute
Daniel Reed 26040,Male,Inactive,High Table,Assassin,Enforcer,Shotgun,Focused,14,Prague,Novice,High
William Griffin 26041,Female,Active,Underworld,Security,Hitman,Sword,Neutral,223,Osaka,Agent,Low
Benjamin Morgan 26042,Female,Missing,Ruska Roma,Crime Syndicate,Manager,Shotgun,Angry,233,Marrakesh,Agent,Absolute
Henry Morgan 26043,Female,Inactive,Underworld,Handler,Enforcer,Unarmed,Determined,35,Paris,Novice,High
Andrew Ward 26044,Female,Inactive,Underworld,Handler,Tracker,Unarmed,Determined,15,Casablanca,Agent,Low
Ethan Hayes 26045,Female,Missing,Continental,Handler,Operative,Shotgun,Neutral,5,Osaka,Agent,High
Jack Cooper 26046,Female,Inactive,Continental,Contractor,Enforcer,Sword,Fearful,127,Rome,Senior Agent,Medium
Ryan Morgan 26047,Female,Deceased,Continental,Security,Tracker,Knife,Calm,241,Casablanca,Novice,Absolute
Ethan Turner 26048,Female,Deceased,Independent,Assassin,Enforcer,Knife,Fearful,122,New York,Senior Agent,High
Oliver Mitchell 26049,Male,Inactive,Ruska Roma,Contractor,Manager,Sword,Fearful,170,Tokyo,Master,Absolute
Matthew Cooper 26050,Female,Inactive,Underworld,Security,Hitman,Rifle,Determined,217,Marrakesh,Novice,Medium
Oliver Carter 26051,Male,Missing,Underworld,Security,Manager,Unarmed,Angry,109,Tokyo,Master,Medium
William Reed 26052,Male,Deceased,Continental,Contractor,Enforcer,Pistol,Calm,13,Rome,Elite,Medium
Leo Cooper 26053,Male,Missing,Independent,Security,Enforcer,Unarmed,Focused,236,Marrakesh,Novice,High
Alex Mitchell 26054,Female,Deceased,Independent,Security,Enforcer,Rifle,Determined,68,Prague,Senior Agent,Medium
Oliver Ward 26055,Female,Inactive,Underworld,Crime Syndicate,Manager,Sword,Neutral,141,Casablanca,Master,Absolute
Henry Parker 26056,Male,Active,Independent,Crime Syndicate,Operative,Rifle,Fearful,122,Tokyo,Agent,High
Henry Parker 26057,Male,Inactive,Underworld,Security,Tracker,Unarmed,Determined,197,Paris,Elite,Absolute
Benjamin Reed 26058,Female,Inactive,Ruska Roma,Assassin,Bodyguard,Rifle,Angry,163,Osaka,Agent,Low
Alex Cooper 26059,Male,Deceased,Ruska Roma,Crime Syndicate,Tracker,Pistol,Focused,89,London,Agent,Low
Matthew Brooks 26060,Male,Missing,Continental,Contractor,Manager,Rifle,Focused,79,Marrakesh,Agent,Medium
Michael Morgan 26061,Male,Inactive,High Table,Handler,Hitman,Rifle,Fearful,81,Prague,Novice,Low
Benjamin Hunter 26062,Male,Deceased,High Table,Assassin,Tracker,Knife,Fearful,49,Marrakesh,Senior Agent,High
Jack Parker 26063,Male,Active,Continental,Crime Syndicate,Enforcer,Pistol,Focused,37,Tokyo,Senior Agent,Absolute
James Griffin 26064,Female,Missing,Ruska Roma,Crime Syndicate,Operative,Shotgun,Calm,212,London,Senior Agent,Medium
Michael Griffin 26065,Male,Deceased,Continental,Crime Syndicate,Operative,Shotgun,Fearful,90,Osaka,Senior Agent,Medium
James Carter 26066,Male,Deceased,High Table,Crime Syndicate,Hitman,Pistol,Determined,15,Prague,Agent,Absolute
Michael Bailey 26067,Male,Missing,Continental,Handler,Manager,Rifle,Neutral,30,Berlin,Master,Low
Alex Murphy 26068,Female,Active,Ruska Roma,Contractor,Enforcer,Unarmed,Fearful,147,Berlin,Novice,Absolute
Michael Bailey 26069,Male,Inactive,Ruska Roma,Contractor,Tracker,Knife,Focused,63,Osaka,Senior Agent,Absolute
Joseph Cooper 26070,Male,Deceased,Ruska Roma,Crime Syndicate,Manager,Pistol,Determined,145,Marrakesh,Novice,Low
Joseph Foster 26071,Male,Active,Ruska Roma,Assassin,Enforcer,Rifle,Neutral,148,Rome,Novice,Absolute
Samuel Ward 26072,Male,Active,High Table,Security,Hitman,Sword,Angry,47,Casablanca,Senior Agent,Low
Alex Morgan 26073,Female,Missing,Ruska Roma,Contractor,Tracker,Shotgun,Determined,240,Berlin,Elite,Low
Matthew Parker 26074,Female,Missing,Continental,Assassin,Enforcer,Unarmed,Calm,67,Osaka,Master,Low
Thomas Morgan 26075,Female,Inactive,Independent,Assassin,Bodyguard,Unarmed,Neutral,29,Paris,Elite,High
Noah Collins 26076,Male,Active,Continental,Handler,Enforcer,Rifle,Angry,3,Paris,Elite,Low
Thomas Foster 26077,Male,Inactive,Underworld,Assassin,Bodyguard,Rifle,Fearful,54,Osaka,Elite,Low
Samuel Brooks 26078,Male,Inactive,Ruska Roma,Contractor,Manager,Unarmed,Focused,176,Marrakesh,Elite,High
Daniel Cooper 26079,Male,Deceased,Underworld,Crime Syndicate,Manager,Shotgun,Neutral,45,London,Novice,High
Andrew Murphy 26080,Male,Active,Underworld,Assassin,Tracker,Shotgun,Focused,78,Osaka,Agent,High
Michael Walker 26081,Female,Inactive,Ruska Roma,Crime Syndicate,Hitman,Pistol,Determined,222,Tokyo,Agent,High
David Ward 26082,Female,Missing,Independent,Contractor,Operative,Unarmed,Fearful,178,Marrakesh,Master,Low
Noah Turner 26083,Male,Inactive,Continental,Assassin,Tracker,Sword,Fearful,224,London,Agent,High
David Hayes 26084,Female,Active,Underworld,Contractor,Manager,Shotgun,Focused,214,Prague,Agent,High
Thomas Ward 26085,Male,Missing,Continental,Handler,Tracker,Unarmed,Fearful,51,London,Novice,Absolute
Lucas Walker 26086,Male,Missing,High Table,Contractor,Bodyguard,Shotgun,Calm,124,New York,Elite,Absolute
Henry Cooper 26087,Male,Missing,Independent,Crime Syndicate,Enforcer,Knife,Calm,39,Rome,Novice,Absolute
Henry Brooks 26088,Male,Inactive,Independent,Security,Hitman,Unarmed,Neutral,52,Casablanca,Elite,Low
Leo Foster 26089,Female,Missing,Underworld,Contractor,Operative,Shotgun,Calm,177,New York,Agent,High
Henry Bailey 26090,Male,Missing,Ruska Roma,Crime Syndicate,Hitman,Knife,Angry,194,Prague,Elite,Low
Matthew Reed 26091,Female,Missing,High Table,Contractor,Hitman,Sword,Focused,104,Prague,Elite,Low
Samuel Griffin 26092,Male,Missing,High Table,Security,Hitman,Pistol,Fearful,98,New York,Master,Low
Benjamin Foster 26093,Male,Missing,Independent,Handler,Manager,Rifle,Determined,231,Rome,Elite,High
Jack Griffin 26094,Male,Active,Underworld,Handler,Manager,Unarmed,Determined,100,New York,Elite,Medium
Michael Bailey 26095,Female,Deceased,Continental,Assassin,Enforcer,Knife,Neutral,187,New York,Senior Agent,Medium
Daniel Ward 26096,Male,Inactive,Ruska Roma,Assassin,Enforcer,Sword,Calm,116,Paris,Agent,Medium
David Ward 26097,Female,Active,Continental,Contractor,Hitman,Sword,Determined,101,Berlin,Senior Agent,Absolute
James Murphy 26098,Male,Missing,Underworld,Assassin,Enforcer,Unarmed,Angry,58,Tokyo,Elite,Medium
Jack Cooper 26099,Male,Deceased,Ruska Roma,Crime Syndicate,Hitman,Sword,Angry,65,London,Elite,Absolute
Matthew Hayes 26100,Male,Inactive,High Table,Security,Enforcer,Unarmed,Focused,102,New York,Elite,Medium
Joseph Walker 26101,Female,Active,Underworld,Crime Syndicate,Hitman,Knife,Neutral,82,Tokyo,Elite,Medium
Ethan Bailey 26102,Male,Active,Underworld,Contractor,Hitman,Sword,Calm,3,Paris,Novice,Absolute
Alex Foster 26103,Female,Inactive,High Table,Contractor,Operative,Shotgun,Focused,223,London,Master,Absolute
David Hayes 26104,Female,Deceased,Continental,Security,Enforcer,Knife,Determined,45,Prague,Senior Agent,Absolute
James Griffin 26105,Female,Missing,High Table,Security,Operative,Pistol,Determined,67,Paris,Senior Agent,Absolute
Matthew Turner 26106,Male,Missing,Ruska Roma,Crime Syndicate,Bodyguard,Sword,Angry,42,Tokyo,Master,Absolute
Samuel Parker 26107,Female,Inactive,Independent,Assassin,Tracker,Shotgun,Angry,4,Osaka,Elite,Medium
Benjamin Turner 26108,Female,Active,Continental,Security,Operative,Pistol,Focused,219,London,Agent,High
Michael Collins 26109,Female,Inactive,Ruska Roma,Handler,Hitman,Shotgun,Fearful,185,Rome,Master,Medium
Lucas Mitchell 26110,Female,Deceased,Independent,Assassin,Operative,Shotgun,Calm,115,Osaka,Senior Agent,Medium
Andrew Murphy 26111,Female,Missing,Independent,Crime Syndicate,Tracker,Unarmed,Focused,162,Casablanca,Novice,Medium
William Russell 26112,Male,Deceased,High Table,Crime Syndicate,Manager,Unarmed,Calm,208,Rome,Senior Agent,Low
